c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
13, DATE '1967-01-01', DATE '1989-08-31', 'U', 'U', 50.0000000000000000000000000, NULL, 'N'
14, DATE '1989-09-01', DATE '1991-07-31', 'U', 'U', 10.0000000000000000000000000, NULL, 'N'
15, DATE '1991-08-01', DATE '1991-11-30', 'U', 'U', 40.0000000000000000000000000, NULL, 'N'
16, DATE '1991-12-01', DATE '1999-11-30', 'U', 'U', 10.0000000000000000000000000, NULL, 'N'
17, DATE '1999-12-01', DATE '2008-11-30', 'U', 'U', 20.0000000000000000000000000, NULL, 'S'
18, DATE '2008-12-01', NULL, 'U', 'D', 0.3300000000000000000000000, 20.0000000000000000000000000, 'N'
19, DATE '1967-01-01', DATE '1991-07-31', 'R', 'U', 10.0000000000000000000000000, NULL, 'N'
20, DATE '1991-08-01', DATE '1991-11-30', 'R', 'U', 40.0000000000000000000000000, NULL, 'N'
21, DATE '1991-12-01', DATE '1999-11-30', 'R', 'U', 10.0000000000000000000000000, NULL, 'N'
22, DATE '1999-12-01', DATE '2008-11-30', 'R', 'U', 20.0000000000000000000000000, NULL, 'S'
23, DATE '2008-12-01', NULL, 'R', 'D', 0.3300000000000000000000000, 20.0000000000000000000000000, 'N'
