c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
57, DATE '1971-09-01', 1.000000, DATE '1971-11-01'
58, DATE '1971-10-01', 1.000000, DATE '1971-12-01'
59, DATE '1971-11-01', 1.000000, DATE '1972-01-01'
60, DATE '1971-12-01', 1.000000, DATE '1972-02-01'
61, DATE '1972-01-01', 1.000000, DATE '1972-03-01'
62, DATE '1972-02-01', 1.000000, DATE '1972-04-01'
63, DATE '1972-03-01', 1.000000, DATE '1972-05-01'
64, DATE '1972-04-01', 1.000000, DATE '1972-06-01'
65, DATE '1972-05-01', 1.000000, DATE '1972-07-01'
66, DATE '1972-06-01', 1.000000, DATE '1972-08-01'
67, DATE '1972-07-01', 1.000000, DATE '1972-09-01'
68, DATE '1972-08-01', 1.000000, DATE '1972-10-01'
69, DATE '1972-09-01', 1.000000, DATE '1972-11-01'
70, DATE '1972-10-01', 1.000000, DATE '1972-12-01'
71, DATE '1972-11-01', 1.000000, DATE '1973-01-01'
72, DATE '1972-12-01', 1.000000, DATE '1973-02-01'
73, DATE '1973-01-01', 1.000000, DATE '1973-03-01'
74, DATE '1973-02-01', 1.000000, DATE '1973-04-01'
75, DATE '1973-03-01', 1.000000, DATE '1973-05-01'
76, DATE '1973-04-01', 1.000000, DATE '1973-06-01'
77, DATE '1973-05-01', 1.000000, DATE '1973-07-01'
78, DATE '1973-06-01', 1.000000, DATE '1973-08-01'
79, DATE '1973-07-01', 1.000000, DATE '1973-09-01'
80, DATE '1973-08-01', 1.000000, DATE '1973-10-01'
81, DATE '1973-09-01', 1.000000, DATE '1973-11-01'
82, DATE '1973-10-01', 1.000000, DATE '1973-12-01'
83, DATE '1973-11-01', 1.000000, DATE '1974-01-01'
84, DATE '1973-12-01', 1.000000, DATE '1974-02-01'
85, DATE '1974-01-01', 1.000000, DATE '1974-03-01'
86, DATE '1974-02-01', 1.000000, DATE '1974-04-01'
87, DATE '1974-03-01', 1.000000, DATE '1974-05-01'
88, DATE '1974-04-01', 1.000000, DATE '1974-06-01'
89, DATE '1974-05-01', 1.000000, DATE '1974-07-01'
90, DATE '1974-06-01', 1.000000, DATE '1974-08-01'
91, DATE '1974-07-01', 1.000000, DATE '1974-09-01'
92, DATE '1974-08-01', 1.000000, DATE '1974-10-01'
93, DATE '1974-09-01', 1.000000, DATE '1974-11-01'
94, DATE '1974-10-01', 1.000000, DATE '1974-12-01'
95, DATE '1974-11-01', 1.000000, DATE '1975-01-01'
96, DATE '1974-12-01', 1.000000, DATE '1975-02-01'
97, DATE '1975-01-01', 1.000000, DATE '1975-03-01'
98, DATE '1975-02-01', 1.000000, DATE '1975-04-01'
99, DATE '1975-03-01', 1.000000, DATE '1975-05-01'
514, DATE '2009-10-01', 0.730000, DATE '2009-12-01'
515, DATE '2009-11-01', 0.660000, DATE '2010-01-01'
516, DATE '2009-12-01', 0.590000, DATE '2010-02-01'
517, DATE '2010-01-01', 0.760000, DATE '2010-03-01'
518, DATE '2010-02-01', 0.670000, DATE '2010-04-01'
519, DATE '2010-03-01', 0.750000, DATE '2010-05-01'
520, DATE '2010-04-01', 0.790000, DATE '2010-06-01'
521, DATE '2010-05-01', 0.860000, DATE '2010-07-01'
522, DATE '2010-06-01', 0.890000, DATE '2010-08-01'
523, DATE '2010-07-01', 0.850000, DATE '2010-09-01'
524, DATE '2010-08-01', 0.810000, DATE '2010-10-01'
525, DATE '2010-09-01', 0.810000, DATE '2010-11-01'
526, DATE '2010-10-01', 0.930000, DATE '2010-12-01'
527, DATE '2010-11-01', 0.860000, DATE '2011-01-01'
528, DATE '2010-12-01', 0.840000, DATE '2011-02-01'
529, DATE '2011-01-01', 0.920000, DATE '2011-03-01'
530, DATE '2011-02-01', 0.840000, DATE '2011-04-01'
531, DATE '2011-03-01', 0.990000, DATE '2011-05-01'
532, DATE '2011-04-01', 0.960000, DATE '2011-06-01'
